#,Department,Phase,KPI / Feature Name,Rationale / Definition,Prototype Status,Dashboard Widget / UX,References,Flyout Detail (Right Panel),Source ? Fields,RAG / Thresholds,Source System & Access,Frequency,Personas,Decision,Prototype Trace,Drill-down Depth,Formula
?  ORG PULSE — OVERVIEW,,,,,,,,,,,,,,,,,
  ?  Org Pulse Dashboard,,,,,,,,index.html,,,,,,,,,
1,Org Pulse,P1,Engineering Summary Card (index.html ? Engineering dept card),Rollup of Engineering unit health visible on Org Pulse home. Entry point to DM dashboard.,Live – v1,"Dept card: RAG badge + 3 capsules (Unit RAG, Avg P360, Escalations). Click?dm-home.html",Built in: Org Pulse | See: P360 Score; Escalation Age (PMO),"Right panel: Unit RAG breakdown by project, Avg P360 score with trend, open escalation list with severity. Links to dm-home.html for full DM view.","P360 SharePoint + Jira ?
1. composite RAG
2. avg P360
3. escalation count",Green: all green | Amber: any amber | Red: any red,"P360 SharePoint/Jira — P360 SharePoint, Jira Read",Daily,"Primary: Leadership | Secondary: DM, PMO",Pending Review,Deferred,—,? Source mapping not yet provided for Org Pulse. Awaiting team's Pulse_Data Mapping update for this department.
78,Finance,P2,"Gross Margin Deviation (Finance ? Cost - KPI Cards (GM, EBIT, Variances))","Project-level gross margin versus SOW target margin. Persistent negative deviation indicates pricing, scope, or cost management failure.",Live - v2,Margin % per project vs target; waterfall chart showing where margin was lost,Built in: Finance | See: Revenue Variance; OpEx Variance; Billing Data Accuracy (PMO),"1. Project-level P&L drill: Project
2. Revenue
3. Direct costs
4. GM %
5. SOW target margin
6. Variance
7. Top cost drivers
8. Trend: GM % over last 4 quarters
9. DM responsible
10. Action: margin recovery options","Source list: Expense Master, Allocations, Allocations + Expense master, Team HC, Allocations - Formulaized. Fields:
1. Expense Master ? OPEX
2. Allocations ? GM
3. Allocations + Expense master ? EBIT
4. Team HC ? HC COST
5. Allocations - Formulaized ? GM Variance
6. Allocations + Expense master ? EBIT Variance.",Green: actual GM ?SOW target | Amber: 1–3% below | Red: >3% below,"ERP / Finance — ERP, SOW Repository, Resource Management",Monthly,"Primary: Finance Head | Secondary: PMO, CEO",Approved (built in v2.0),Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
  ?  AR & Receivables,,,,,,,,finance.html ? AR Ageing + Overdue cards merged (Live-v1),,,,,,,,,
79,Finance,P1,"AR & Receivables Status (Finance ? AR & Receivables, AR graph, AR details, AR Aging table, Vendor Payments)",Merged metric: AR Ageing Waterfall + Top Overdue Invoices + bad debt exposure lens. Single tile covering the full receivables picture. Overdue list is the drill-down of the ageing waterfall.,Live – v1,Waterfall / stacked bar: receivables by ageing bucket (Current/30d/60d/90d/90d+); overdue invoice list below; bad debt exposure = 90d+ bucket value shown as risk callout,Built in: Finance | See: Revenue vs Plan YTD; Billing Data Accuracy (PMO),"1. Invoice-level table: Account
2. Invoice Date
3. Invoice Amount
4. Days Overdue
5. PO Status
6. Chase Log last entry
7. Escalation flag
8. Sort by days overdue descending
9. Bad debt exposure summary: total value in 90d+ with account names
10. Action buttons: Log chase / Escalate to leadership / Mark dispute","Source list: Customer Fact payments, Projections. Fields:
1. (source blank in Pulse) ? Vendor Name
2. (source blank in Pulse) ? Amount
3. (source blank in Pulse) ? Paid on
4. (source blank in Pulse) ? Due since
5. Customer Fact payments.Amount ? Total AR
6. Customer Fact payments ? 90+
7. Customer Fact payments ? Collection rate
8. Projections.Amount ? M+1 Forecast
9. Customer Fact payments.Amount ? 0, 30, 60 , 90
10. Customer Fact payments.Account ? Account
11. Customer Fact payments.Month ? Month
12. Customer Fact payments ? Invoice
13. Customer Fact payments.Amount ? Amount
14. Customer Fact payments.Account ? Account
15. Customer Fact payments.DM ? Manager
16. Customer Fact payments.Amount ? AR
17. Customer Fact payments.Amount ? 30-60-90
18. Customer Fact payments ? Invoice
19. Customer Fact payments ? Amount
20. Customer Fact payments.Payment Terms ? Days
21. Customer Fact payments.Status ? Status.",Green: ?90% in Current bucket | Amber: >10% in 30–60d | Red: any amount in 90d+ bucket,ERP / Finance Read,Monthly,"Primary: Finance Head | Secondary: PMO, Account Manager",Pending Review,Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
  ?  DEFERRED — Finance (out of scope for current build cycle),,,,,,,,,,,,,,,,,
80,Finance,P3,Headcount Accuracy & Variance (—),Deferred Finance metric: Headcount Accuracy & Variance.,Deferred,—,Built in: Finance | See: —,No flyout — deferred,Deferred Finance metric — not mapped in Pulse Finance_Done (Pulse covers Overview/Revenue/Cost/AR live tabs only).,—,ERP / Finance — ERP Read,Monthly,Primary: Finance Head | Secondary: —,Deferred,Deferred,—,
81,Finance,P3,Margin Movement MoM (—),Deferred Finance metric: Margin Movement MoM.,Deferred,—,Built in: Finance | See: —,No flyout — deferred,Deferred Finance metric — not mapped in Pulse Finance_Done (Pulse covers Overview/Revenue/Cost/AR live tabs only).,—,ERP / Finance — ERP Read,Monthly,Primary: Finance Head | Secondary: —,Deferred,Deferred,—,
82,Finance,P3,Cost Variance (COGS + OpEx) (—),Deferred Finance metric: Cost Variance (COGS + OpEx).,Deferred,—,Built in: Finance | See: —,No flyout — deferred,Deferred Finance metric — not mapped in Pulse Finance_Done (Pulse covers Overview/Revenue/Cost/AR live tabs only).,—,ERP / Finance — ERP Read,Monthly,Primary: Finance Head | Secondary: —,Deferred,Deferred,—,
83,Finance,P3,Incentive Accuracy Deviation (—),Deferred Finance metric: Incentive Accuracy Deviation.,Deferred,—,Built in: Finance | See: —,No flyout — deferred,Deferred Finance metric — not mapped in Pulse Finance_Done (Pulse covers Overview/Revenue/Cost/AR live tabs only).,—,ERP / Finance — ERP Read,Monthly,Primary: Finance Head | Secondary: —,Deferred,Deferred,—,
84,Finance,P3,Vendor Payment SLA Breach (—),Deferred Finance metric: Vendor Payment SLA Breach.,Deferred,—,Built in: Finance | See: —,No flyout — deferred,Deferred Finance metric — not mapped in Pulse Finance_Done (Pulse covers Overview/Revenue/Cost/AR live tabs only).,—,ERP / Finance — ERP Read,Monthly,Primary: Finance Head | Secondary: —,Deferred,Deferred,—,
85,Finance,P3,Revenue per Employee (—),Deferred Finance metric: Revenue per Employee.,Deferred,—,Built in: Finance | See: —,No flyout — deferred,Deferred Finance metric — not mapped in Pulse Finance_Done (Pulse covers Overview/Revenue/Cost/AR live tabs only).,—,ERP / Finance — ERP Read,Monthly,Primary: Finance Head | Secondary: —,Deferred,Deferred,—,
86,Finance,P3,Cost per Employee (—),Deferred Finance metric: Cost per Employee.,Deferred,—,Built in: Finance | See: —,No flyout — deferred,Deferred Finance metric — not mapped in Pulse Finance_Done (Pulse covers Overview/Revenue/Cost/AR live tabs only).,—,ERP / Finance — ERP Read,Monthly,Primary: Finance Head | Secondary: —,Deferred,Deferred,—,
,,,,,,,,,,,,,,,,,
?  ACCOUNT MANAGEMENT,,,,,,,,,,,,,,,,,
  ?  Account Management Dashboard,,,,,,,,account-management.html,,,,,,,,,
AM-1,Account Management,P1,"Top Card — YTD Revenue & P-360 Score (AM-DM Dashboard ? Top Card ? YTD Revenue, P-360 Score)",Rollup of AM portfolio health on Org Pulse home. Entry point to account-management.html.,Live – v2,Dept card: RAG badge + 3 KPI strip (Open Escalations / Mining Active / Portfolio value). Click ? account-management.html,,"Click card ? Overview tab with AM cards, Mining swimlane, Escalations table. Source: account-management.html.","Source list: AM-DM Dashboard, Engineering. Fields:
1. AM-DM Dashboard.Actuals ? YTD Revenue (Cleaned: Sum of actuals)
2. Engineering ? P-360 Score (Cleaned).",Amber: any open esc | Red: overdue esc,,Daily,Primary: Leadership,Pending Review,org-pulse.html ? Account Mgmt dept card,2,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
AM-2,Account Management,P1,Overview — KPI Card (AM-DM Dashboard ? Overview ? KPI Card),"One-glance per-AM view showing account count, pipeline, mining, escalation, P360, and billing.",Live – v2,Horizontal AM card: avatar + name + BU + accounts. Pill badges: Mining RAG / Esc RAG / P360 avg / Portfolio $. Click to filter.,,Click card ? filters Mining + Escalations sections below to selected AM. Click again to clear.,"Source list: AM-DM Dashboard, Engineering. Fields:
1. AM-DM Dashboard.AM ? AM name (Raw)
2. AM-DM Dashboard.Client ? Account count (Raw)
3. AM-DM Dashboard.Actuals ? YTD Revenue (Raw: Sum of actuals)
4. Engineering ? P-360 avg (Cleaned: filtered on account_manager name).","Green: 0 esc, P360>8 | Amber: 1 esc or P360 6–8 | Red: >1 esc or P360<6",,Daily,"Primary: Account Manager, Leadership",Pending Review,account-management.html ? Overview,2,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
AM-3,Account Management,P1,"Mining Threads — Cards & Details (Account Mining Update ? Mining Threads ? Cards, Details)",Visual swimlane of all mining opportunities by status — On Track / At Risk / Late.,Live – v2,"Three-column swimlane: On Track (green) / At Risk (amber) / Late (red). Each card shows deal name, value, due date, AM.",,Click row ? mining thread flyout: current deliverable / history / next action / add action item.,"Source list: Account Mining Update (SP List: https://mynalashaa.sharepoint.com/sites/ResourceManagement/Lists/Account%20Mining%20Update/AllItems.aspx). Fields:
1. Account Mining Update.Account ? Client name (Raw)
2. Account Mining Update.Anticipated Value ? Anticipated value (Raw)
3. Account Mining Update.Due date ? Due date (Raw)
4. Account Mining Update.Owner ? Owner (Raw)
5. Account Mining Update.Current activities ? Current activities (Raw)
6. Account Mining Update.Vlookup last date done activities ? History activities (Cleaned: Vlookup past due-date activities)
7. Account Mining Update.Action item ? Action Item (Raw)
8. Account Mining Update.Due date ? Due date (Raw)
9. Account Mining Update.Owner ? Owner (Raw).",Green: due_date>today | Amber: due_date within 7d | Red: overdue,,Weekly,"Primary: Account Manager, Leadership",Pending Review,account-management.html ? Overview,2,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
AM-4,Account Management,P1,Account Escalation — Table (Account Risk Register ? Account Escalation ? Table),AM-owned escalation register. AMs are primary owners; DMs derive escalation context from here.,Live – v2,Table: Account | Escalation | AM | Next Action | Resolution Date | Status badge.,,"Click row ? escalation flyout: severity/age/owner header, last update card, next action card, timeline, + Add Action Item form.","Source list: Account Risk Register (currently Excel; can create an online escalation tracker SP List). Fields:
1. Account Risk Register.Account ? Account (Raw)
2. Account Risk Register.Escalation ? Escalation (Raw)
3. Account Risk Register.AM ? AM (Raw)
4. Account Risk Register.Due date ? Due date (Raw)
5. Account Risk Register.Status ? Status (Raw).",Red: Overdue | Amber: In Progress | Green: Monitoring/Closed,,Daily,"Primary: Account Manager, Leadership",Pending Review,account-management.html ? Overview,2,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
AM-5,Account Management,P1,Account Escalation — Details (Account Risk Register ? Account Escalation ? Details),Horizontal billing bars per account with AM persona filter and M+1/2/3 forward outlook.,Live – v2,Horizontal bar per account: actual billed vs plan (RAG-coloured fill). M+1/M+2/M+3 cells colour-coded. AM persona filter buttons (All/AM names).,,Click account bar ? billing flyout: monthly chart + invoice table + gap action owner.,"Source list: Account Risk Register. Fields:
1. Account Risk Register.Action item ? Next action item (Raw)
2. Account Risk Register.Anticipated Risk ? Revenue risk (Raw).",Green: ?100% plan | Amber: 85–99% | Red: <85%,,Monthly,"Primary: Account Manager, Finance Head, Leadership",Pending Review,account-management.html ? Financials,2,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
,,,,,,,,,,,,,,,,,
?  SOLUTIONS (BA UNIT),,,,,,,,,,,,,,,,,
  ?  Solutions Dashboard,,,,,,,,solutions.html / solutions-detail.html,,,,,,,,,
SOL-1,Solutions,P1,Solutions Summary Card (Solutions ? Main KPI Cards),Rollup of BA unit artefact health on Org Pulse home. Entry point to solutions.html.,Live – v2,Dept card: RAG badge + 3 KPI strip (BRD Coverage % / Sprint Churn / Presales Covered). Click ? solutions.html,,Click card ? BA overview with unit ribbon + BA card list.,"Source list: SP - Allocations, SP, AP - AM DM Dashboard. Fields:
1. SP - Allocations.Project name ? Projects
2. SP.Folder - BRD , FSD Present ? Coverage
3. (source blank in Pulse).Need More Info ? Churn
4. AP - AM DM Dashboard.Actuals ? YTD.","Green: BRD?90%, churn<5 | Amber: BRD 75–90%, churn 5–10 | Red: BRD<75% or churn>10",,Daily,"Primary: Leadership, Solutions Head",Pending Review,org-pulse.html ? Solutions dept card,2,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
SOL-2,Solutions,P1,"BA Cards — Unit Overview (Solutions ? YTD BILLING, Unit Utilization)","Per-BA card showing artefact coverage, quality, and billing at a glance.",Live – v2,"BA card: name + unit + RAG. Ribbon tiles: BRD/FSD/Story coverage %, churn, AC gaps, version count, kick-off days, YTD billing.",,Click card ? solutions-detail.html for that BA (Artifact Health tab default).,"Source list: AM-DM Dashboard, Allocation Projection. Fields:
1. AM-DM Dashboard.Months ? Months
2. AM-DM Dashboard.Actuals Sum ? Revenue
3. Allocation Projection.Months ? Months
4. Allocation Projection.Cost Assignmet ? Overall  Team Utilization
5. Allocation Projection.Assignment ? Overall Client Utilization.",Per-BA composite RAG from worst tile,,Daily,"Primary: Solutions Head, Leadership",Pending Review,solutions.html,2,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
SOL-3,Solutions,P1,Artifact Health — Project Tiles (Solutions ? Respective BA KPI Card),"Per-project artefact health tiles showing document presence, story count, and alert flags.",Live – v2,4-column tile grid. Compact card: name+account (left) / stories+BRD+FSD+No-AC (right). Alert tags below. Footer: score + sprint + status.,,"Click tile ? flyout: sprint view (current/past/next sprints), sign-off status, doc age, insights.","Source list: SP - Engineering, JIRA, JIRA - Active Aprint, JIRA Backlog. Fields:
1. SP - Engineering.BRD present -> X Date - Refer utilization and go to all project folders ? BRD Coverage
2. SP - Engineering.FSD Present -> X Date - Refer utilization and go to all project folders ? FSD Coverage
3. JIRA.Story Points - Task type - Refer utilization and go to all project folders ? User stories
4. (source blank in Pulse).Not sure how we can compute this ? Template Adoption
5. JIRA - Active Aprint.Current sprint user stories and details - Refer utilization and go to all project folders ? Current and Next sprints
6. JIRA Backlog.No of User stories in Todo -Refer utilization and go to all project folders ? (field blank).","Green: all docs present, no AC gaps | Amber: FSD draft or AC gaps | Red: missing BRD or FSD",,Per sprint,"Primary: Solutions Head, BA",Pending Review,solutions-detail.html ? Artifact Health tab,2,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
SOL-4,Solutions,P1,Requirements Quality — Project Cards (Solutions ? Main KPI Cards (Churn)),"Per-project requirements quality showing churn, AC gaps, and FSD version count.",Live – v2,Compact req card: name+account (left) / churn count + No-AC count | version (right). RAG border.,,"Click card ? flyout: epic-level story table, churn root cause, 6-sprint sparkline, + add action item.","Source list: partial — Pulse marks Churn as 'Need More Info' and Template Adoption as 'Not sure how we can compute this'. Fields:
1. SP.Folder (BRD, FSD Present) ? Coverage
2. (Churn, source blank) ? 'Need More Info' (unresolved in Pulse)
3. (Template Adoption, source blank) ? 'Not sure how we can compute this' (unresolved in Pulse).","Green: 0 churn, 0 AC gaps | Amber: churn 1–2 or AC gaps 1–3 | Red: churn>2 or AC gaps>3",,Per sprint,"Primary: Solutions Head, BA",Pending Review,solutions-detail.html ? Requirements Quality tab,2,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
SOL-5,Solutions,P2,Capacity & Presales (Solutions ? Unit Utilization),BA utilization and active presales pursuit visibility.,Planned – v2,"BA utilization summary + presales pursuit cards (deal name, account, value, stage, days since last meeting).",,Click presales card ? flyout: activity log + last call notes.,"Source list: Allocation Projection. Fields:
1. Allocation Projection.Months ? Months
2. Allocation Projection.Cost Assignmet ? Overall  Team Utilization
3. Allocation Projection.Assignment ? Overall Client Utilization. Note: Presales pursuit fields not present in Pulse Solutions_Done.",Amber: presales uncovered or days_since_last_meeting > 7,,Weekly,"Primary: Solutions Head, Account Manager",Pending Review,solutions-detail.html ? Capacity & Presales tab,2,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
,,,,,,,,,,,,,,,,,
?  SALES — INSIDE SALES TAB (ADDITIONS),,,,,,,,,,,,,,,,,
  ?  Inside Sales — Tab 1,,,,,,,,sales.html ? Inside Sales tab,,,,,,,,,
IS-1,Sales,P1,Calls This Week (sales.html ? Inside Sales),Total outbound calls across all BDEs for the current week. WoW % change trend arrow.,Live – v2,KPI tile: value + WoW % arrow + BDE count sub-label.,,Click tile ? drill flyout: per-BDE call count table sorted descending.,"CRM/Dialler ?
 calls[bde, date, count]",Green: ?target | Amber: 80–99% of target | Red: <80%,,Weekly,Primary: Sales Head,Pending Review,sales.html ? Inside Sales,2,? Source mapping not yet provided for Sales. Awaiting team's Pulse_Data Mapping update for this department.
IS-2,Sales,P1,Contact Rate (sales.html ? Inside Sales),% of outbound calls that result in an interaction (conversation with decision-maker).,Live – v2,KPI tile: % value + source label.,,Click tile ? flyout: per-BDE contact rate table.,"CRM/Dialler ?
 interactions / calls",Green: ?30% | Amber: 20–29% | Red: <20%,,Weekly,Primary: Sales Head,Pending Review,sales.html ? Inside Sales,2,? Source mapping not yet provided for Sales. Awaiting team's Pulse_Data Mapping update for this department.
IS-3,Sales,P1,Conversion Rate (sales.html ? Inside Sales),% of interactions that convert to a scheduled meeting.,Live – v2,KPI tile: % value.,,Click tile ? flyout: per-BDE conversion table.,"CRM ?
 meetings_scheduled / interactions",Green: ?35% | Amber: 25–34% | Red: <25%,,Weekly,Primary: Sales Head,Pending Review,sales.html ? Inside Sales,2,? Source mapping not yet provided for Sales. Awaiting team's Pulse_Data Mapping update for this department.
IS-4,Sales,P1,Meetings Scheduled (sales.html ? Inside Sales),Count of meetings scheduled this week across all BDEs vs weekly target.,Live – v2,KPI tile: count + vs-target sub-label.,,"Click tile ? flyout: meeting list with account, rep, date, outcome.","CRM ?
 meetings[bde, date, account, status]",Green: ?target | Amber: 80–99% | Red: <80%,,Weekly,Primary: Sales Head,Pending Review,sales.html ? Inside Sales,2,? Source mapping not yet provided for Sales. Awaiting team's Pulse_Data Mapping update for this department.
IS-5,Sales,P1,Opp Worthy Rate (sales.html ? Inside Sales),% of held meetings qualifying as sales opportunities (last 30 days).,Live – v2,KPI tile: % value + last-30d label.,,Click tile ? flyout: meeting-to-opp conversion list.,"CRM ?
 opp_created / meetings_held (last 30d)",Green: ?30% | Amber: 20–29% | Red: <20%,,Monthly,Primary: Sales Head,Pending Review,sales.html ? Inside Sales,2,? Source mapping not yet provided for Sales. Awaiting team's Pulse_Data Mapping update for this department.
IS-6,Sales,P1,BDE Performance Chart (sales.html ? Inside Sales),Overlapping horizontal bar per BDE: calls / interactions / meetings / opp-worthy in descending call-volume order.,Live – v2,Overlapping horizontal bar chart. Click any BDE bar to open rep flyout.,,Rep flyout: WoW history table + call quality score + opp conversion trend.,"CRM/Dialler ?
 per_bde[calls, interactions, meetings, opp_worthy] for current week",Bar width scaled to max calls in team,,Weekly,Primary: Sales Head,Pending Review,sales.html ? Inside Sales,2,? Source mapping not yet provided for Sales. Awaiting team's Pulse_Data Mapping update for this department.
IS-7,Sales,P1,Week-on-Week Trend (sales.html ? Inside Sales),"Dual-axis chart showing 4-week rolling trend: calls (bar, left axis) + meetings scheduled (line, right axis) + opp-worthy count (secondary bar).",Live – v2,Dual-axis combo chart. 4 weeks history.,,No separate flyout — chart is interactive (hover tooltips per week).,"CRM/Dialler ?
 weekly_totals[calls, meetings, opp_worthy] last 4 weeks",Trend indicators only — no RAG threshold,,Weekly,Primary: Sales Head,Pending Review,sales.html ? Inside Sales,2,? Source mapping not yet provided for Sales. Awaiting team's Pulse_Data Mapping update for this department.
IS-8,Sales,P1,Meeting Outcome Distribution (sales.html ? Inside Sales),100% stacked bar chart by month showing outcome breakdown: Held / No-show / Rescheduled / Closed-Won Next Steps.,Live – v2,100% stacked bar. BDE chip filter above chart. 6 months history.,,No flyout — chart is filterable by BDE via chip selector.,"CRM ?
 meetings[month, outcome, bde]",Target: Held ?70% of scheduled,,Monthly,Primary: Sales Head,Pending Review,sales.html ? Inside Sales,2,? Source mapping not yet provided for Sales. Awaiting team's Pulse_Data Mapping update for this department.
IS-9,Sales,P1,Proposals Awaited (sales.html ? Inside Sales),Opportunities in Proposal or Negotiation stage where commercial action is pending — CRM action required view.,Live – v2,Table: Account | Opportunity | Rep | Stage | Value | Proposal Status | Awaited (days) | Action Required. Sorted by Awaited descending.,,"Click row ? deal detail flyout: full opportunity history, activity log, contact list, next step.","CRM ?
 opportunities[account, name, rep, stage, value, proposal_status, last_action_date]",Red: Awaited >30d or Proposal Status = Not Sent | Amber: Awaited 14–30d | Green: <14d,,Daily,"Primary: Sales Head, Account Manager",Pending Review,sales.html ? Inside Sales,2,? Source mapping not yet provided for Sales. Awaiting team's Pulse_Data Mapping update for this department.
